business_name,category,city,address,phone,source
N/A,Restaurants,Mumbai,N/A,08460236463,Justdial
N/A,Restaurants,Mumbai,N/A,09035264703,Justdial
N/A,Restaurants,Mumbai,N/A,09845225754,Justdial
N/A,Restaurants,Mumbai,N/A,09972411661,Justdial
N/A,Restaurants,Mumbai,N/A,08460396893,Justdial
N/A,Restaurants,Mumbai,N/A,09972263960,Justdial
N/A,Restaurants,Mumbai,N/A,08511056674,Justdial
N/A,Restaurants,Mumbai,N/A,09731812647,Justdial
N/A,Restaurants,Mumbai,N/A,09035756830,Justdial
N/A,Restaurants,Mumbai,N/A,08460412979,Justdial
N/A,Hospitals,Mumbai,N/A,09036607961,Justdial
N/A,Hospitals,Mumbai,N/A,08460426739,Justdial
N/A,Hospitals,Mumbai,N/A,08401892790,Justdial
N/A,Hospitals,Mumbai,N/A,07041947381,Justdial
N/A,Hospitals,Mumbai,N/A,09725865947,Justdial
N/A,Hospitals,Mumbai,N/A,09972375065,Justdial
N/A,Hospitals,Mumbai,N/A,07618788920,Justdial
N/A,Hospitals,Mumbai,N/A,08128993839,Justdial
N/A,Hospitals,Mumbai,N/A,09972850505,Justdial
N/A,Hospitals,Mumbai,N/A,08460475553,Justdial
N/A,Gyms,Mumbai,N/A,09054615885,Justdial
N/A,Gyms,Mumbai,N/A,09972232683,Justdial
N/A,Gyms,Mumbai,N/A,09845450074,Justdial
N/A,Gyms,Mumbai,N/A,09972300257,Justdial
N/A,Gyms,Mumbai,N/A,08904177938,Justdial
N/A,Gyms,Mumbai,N/A,08197194057,Justdial
N/A,Gyms,Mumbai,N/A,09845466407,Justdial
N/A,Gyms,Mumbai,N/A,08123488085,Justdial
N/A,Gyms,Mumbai,N/A,07048518323,Justdial
N/A,Gyms,Mumbai,N/A,08460521287,Justdial
N/A,Gyms,Mumbai,N/A,07405493016,Justdial
N/A,Gyms,Mumbai,N/A,08511963026,Justdial
N/A,Gyms,Mumbai,N/A,08105045730,Justdial
N/A,Gyms,Mumbai,N/A,09972212184,Justdial
N/A,Gyms,Mumbai,N/A,08511520818,Justdial
N/A,Gyms,Mumbai,N/A,09972342766,Justdial
N/A,Gyms,Mumbai,N/A,09972270692,Justdial
N/A,Gyms,Mumbai,N/A,08401504225,Justdial
N/A,Gyms,Mumbai,N/A,08792864397,Justdial
N/A,Gyms,Mumbai,N/A,08904256233,Justdial
N/A,Restaurants,Bangalore,N/A,09035024947,Justdial
N/A,Restaurants,Bangalore,N/A,09980024481,Justdial
N/A,Restaurants,Bangalore,N/A,07383319575,Justdial
N/A,Restaurants,Bangalore,N/A,09972938185,Justdial
N/A,Restaurants,Bangalore,N/A,09980234560,Justdial
N/A,Restaurants,Bangalore,N/A,07041795609,Justdial
N/A,Restaurants,Bangalore,N/A,09740384641,Justdial
N/A,Restaurants,Bangalore,N/A,09980851895,Justdial
N/A,Restaurants,Bangalore,N/A,09980021374,Justdial
N/A,Restaurants,Bangalore,N/A,08147455624,Justdial
N/A,Restaurants,Bangalore,N/A,09980118669,Justdial
N/A,Restaurants,Bangalore,N/A,09980234989,Justdial
N/A,Restaurants,Bangalore,N/A,09980120597,Justdial
N/A,Restaurants,Bangalore,N/A,07490064827,Justdial
N/A,Restaurants,Bangalore,N/A,09035071941,Justdial
N/A,Restaurants,Bangalore,N/A,07041287520,Justdial
N/A,Restaurants,Bangalore,N/A,09980027993,Justdial
N/A,Restaurants,Bangalore,N/A,09980116391,Justdial
N/A,Restaurants,Bangalore,N/A,09725455858,Justdial
N/A,Restaurants,Bangalore,N/A,08735934920,Justdial
