business_name,category,city,address,phone,source
Urban Fitness Center,Hospital,Mumbai,"MG Road, Mumbai",6962519303,Google
Urban Dental Clinic,Hospital,Delhi,"Powai, Delhi",9423823452,Google
Royal Hotel,Salon,Pune,"Powai, Pune",9298525339,Sulekha
Metro Restaurant,Hospital,Delhi,"Kharadi, Delhi",9833678055,Google
Modern Gym,Salon,Chennai,"Kharadi, Chennai",6976889810,Justdial
Elite Hotel,Hotel,Delhi,"Baner, Delhi",7427295683,Google
Royal Gym,Gym,Bangalore,"MG Road, Bangalore",9932849698,Justdial
Royal Restaurant,Dental,Delhi,"Baner, Delhi",6262807617,Sulekha
Smart Salon,Cafe,Bangalore,"Hinjewadi, Bangalore",8839509715,Google
Shree Hospital,Dental,Nashik,"Baner, Nashik",6921073867,Justdial
Sai Gym,Hotel,Chennai,"Kharadi, Chennai",8152197260,Justdial
Star Hospital,Gym,Mumbai,"Baner, Mumbai",7891150001,Google
Urban Cafe,Cafe,Hyderabad,"Kharadi, Hyderabad",7282319239,Sulekha
Metro Fitness Center,Salon,Bangalore,"Powai, Bangalore",7690261660,Google
Smart Salon,Gym,Hyderabad,"Powai, Hyderabad",8192779374,Justdial
Urban Gym,Hospital,Mumbai,"Andheri, Mumbai",7731174742,Google
Smart Fitness Center,Dental,Delhi,"MG Road, Delhi",6516370114,Google
Sai Salon,Salon,Bangalore,"CP, Bangalore",7459900493,Sulekha
Smart Dental Clinic,Salon,Bangalore,"Andheri, Bangalore",9829178101,Sulekha
Smart Hotel,Dental,Hyderabad,"Hinjewadi, Hyderabad",7837676126,Justdial
Urban Hospital,Hospital,Mumbai,"Andheri, Mumbai",6813575257,Google
Prime Hospital,Restaurant,Bangalore,"Hinjewadi, Bangalore",9465058565,Justdial
Prime Fitness Center,Hotel,Pune,"Andheri, Pune",7762412595,Google
Prime Salon,Salon,Pune,"Hinjewadi, Pune",6136196678,Sulekha
Prime Fitness Center,Gym,Bangalore,"MG Road, Bangalore",9624202352,Justdial
Sai Restaurant,Restaurant,Bangalore,"Kharadi, Bangalore",8246354246,Justdial
Metro Salon,Cafe,Delhi,"MG Road, Delhi",8773229978,Google
Royal Hospital,Restaurant,Nashik,"Andheri, Nashik",7462635259,Google
Modern Hospital,Salon,Bangalore,"Hinjewadi, Bangalore",9813662016,Justdial
Smart Salon,Hospital,Bangalore,"Hinjewadi, Bangalore",7384043906,Sulekha
Shree Hospital,Dental,Delhi,"CP, Delhi",6886739997,Google
Shree Hospital,Restaurant,Chennai,"CP, Chennai",9796805126,Justdial
Royal Hotel,Dental,Hyderabad,"Andheri, Hyderabad",7064199908,Sulekha
Elite Hotel,Cafe,Hyderabad,"CP, Hyderabad",8095911852,Sulekha
Royal Hospital,Restaurant,Chennai,"MG Road, Chennai",9387169831,Google
Prime Hotel,Dental,Pune,"MG Road, Pune",8402202731,Google
Elite Fitness Center,Restaurant,Chennai,"Bandra, Chennai",7977574005,Sulekha
Prime Hotel,Restaurant,Delhi,"Andheri, Delhi",6889433366,Sulekha
Modern Hospital,Restaurant,Bangalore,"MG Road, Bangalore",6405933128,Google
Sai Hospital,Restaurant,Delhi,"Hinjewadi, Delhi",7122277037,Justdial
Metro Fitness Center,Cafe,Chennai,"MG Road, Chennai",6330977972,Google
Modern Cafe,Salon,Pune,"CP, Pune",9369487362,Sulekha
Royal Restaurant,Gym,Bangalore,"CP, Bangalore",8164375471,Justdial
Prime Dental Clinic,Hotel,Bangalore,"Powai, Bangalore",7758246985,Google
Modern Salon,Hospital,Pune,"Bandra, Pune",7366786369,Google
Star Fitness Center,Dental,Chennai,"Powai, Chennai",9549410439,Sulekha
Modern Fitness Center,Restaurant,Delhi,"Kharadi, Delhi",6507496223,Google
Star Hotel,Restaurant,Bangalore,"Powai, Bangalore",8640420635,Google
Modern Salon,Gym,Hyderabad,"MG Road, Hyderabad",9866856339,Sulekha
Sai Fitness Center,Cafe,Chennai,"Powai, Chennai",8668661677,Sulekha
Smart Hospital,Hotel,Chennai,"Bandra, Chennai",8504613043,Google
Elite Dental Clinic,Dental,Bangalore,"Hinjewadi, Bangalore",8618144419,Justdial
Star Restaurant,Hotel,Hyderabad,"MG Road, Hyderabad",6990320939,Justdial
Metro Dental Clinic,Cafe,Nashik,"Bandra, Nashik",6517447905,Justdial
Star Hospital,Cafe,Pune,"CP, Pune",8563076734,Google
Smart Hospital,Salon,Nashik,"Hinjewadi, Nashik",8428006269,Justdial
Urban Hotel,Salon,Mumbai,"MG Road, Mumbai",8604159493,Sulekha
Prime Dental Clinic,Salon,Delhi,"Hinjewadi, Delhi",9982193753,Google
Sai Dental Clinic,Salon,Bangalore,"Baner, Bangalore",6524649187,Justdial
Metro Hotel,Restaurant,Bangalore,"Baner, Bangalore",7339455809,Sulekha
Royal Dental Clinic,Hotel,Hyderabad,"CP, Hyderabad",9940098700,Justdial
Elite Gym,Hospital,Chennai,"Powai, Chennai",6850184749,Google
Star Gym,Hospital,Delhi,"Kharadi, Delhi",6704059323,Justdial
Elite Restaurant,Salon,Bangalore,"Andheri, Bangalore",9070152198,Justdial
Shree Dental Clinic,Salon,Delhi,"CP, Delhi",7920099081,Sulekha
Shree Hospital,Gym,Chennai,"CP, Chennai",6894217839,Justdial
Metro Restaurant,Hotel,Nashik,"Bandra, Nashik",7874931053,Justdial
Star Hospital,Cafe,Bangalore,"Baner, Bangalore",9334085752,Sulekha
Metro Salon,Salon,Hyderabad,"Baner, Hyderabad",6396204820,Justdial
Modern Cafe,Dental,Mumbai,"Baner, Mumbai",9397592791,Justdial
Modern Hospital,Hospital,Pune,"Hinjewadi, Pune",8241720281,Sulekha
Royal Cafe,Salon,Pune,"Bandra, Pune",7968749321,Google
Star Fitness Center,Salon,Mumbai,"Baner, Mumbai",8130884181,Google
Modern Hotel,Hotel,Mumbai,"Kharadi, Mumbai",6202130848,Google
Modern Hospital,Hospital,Hyderabad,"MG Road, Hyderabad",8755170194,Google
Sai Fitness Center,Salon,Hyderabad,"Baner, Hyderabad",9134466937,Sulekha
Smart Hotel,Hotel,Mumbai,"Bandra, Mumbai",8346830516,Sulekha
Star Dental Clinic,Hotel,Bangalore,"MG Road, Bangalore",8075198673,Sulekha
Prime Restaurant,Salon,Mumbai,"CP, Mumbai",9899724185,Google
Shree Cafe,Cafe,Mumbai,"Kharadi, Mumbai",6233143178,Google
Royal Dental Clinic,Dental,Pune,"Baner, Pune",8564360531,Sulekha
Modern Salon,Hotel,Nashik,"Hinjewadi, Nashik",6481929888,Justdial
Smart Fitness Center,Cafe,Hyderabad,"Powai, Hyderabad",9379031300,Google
Smart Fitness Center,Hospital,Delhi,"Andheri, Delhi",7474321563,Google
Elite Hotel,Dental,Mumbai,"MG Road, Mumbai",9841160473,Justdial
Modern Cafe,Gym,Bangalore,"Kharadi, Bangalore",8458390474,Sulekha
Smart Fitness Center,Hospital,Nashik,"Powai, Nashik",6081177687,Justdial
Smart Dental Clinic,Cafe,Pune,"Andheri, Pune",9568194141,Sulekha
Elite Dental Clinic,Hotel,Mumbai,"Kharadi, Mumbai",7891568503,Justdial
Elite Gym,Gym,Hyderabad,"Andheri, Hyderabad",7254240810,Google
Modern Fitness Center,Cafe,Nashik,"MG Road, Nashik",9578475447,Justdial
Smart Dental Clinic,Dental,Chennai,"Powai, Chennai",8457866844,Justdial
Prime Fitness Center,Restaurant,Delhi,"CP, Delhi",7586923912,Sulekha
Urban Hospital,Restaurant,Chennai,"Kharadi, Chennai",6273178175,Sulekha
Modern Hospital,Dental,Nashik,"Baner, Nashik",7628332322,Sulekha
Sai Salon,Cafe,Chennai,"MG Road, Chennai",6861104420,Justdial
Elite Salon,Salon,Mumbai,"Bandra, Mumbai",6050549632,Google
Elite Cafe,Hospital,Delhi,"Kharadi, Delhi",7913400924,Sulekha
Prime Dental Clinic,Hospital,Delhi,"Hinjewadi, Delhi",7938828241,Justdial
Royal Gym,Cafe,Delhi,"CP, Delhi",6388493990,Sulekha
